R,Nome,Squadra,Fm,Punteggio
A,Jovane,Salernitana,6.25,5.5
A,Toure' E.,Atalanta,0.0,0.0
A,Petagna,Cagliari,5.75,0.0
A,Di Francesco F.,Lecce,10.0,0.0
A,Lapadula,Cagliari,0.0,0.0
A,Caprari,Monza,6.0,0.0
A,Kean,Juventus,6.25,6.5
A,Jovic,Milan,5.62,5.0
A,Pedro,Lazio,5.79,5.5
A,Abraham,Roma,0.0,0.0
A,Piccoli,Lecce,6.58,10.0
A,Cambiaghi,Empoli,5.81,7.0
A,Shomurodov,Cagliari,5.81,7.5
A,Lucca,Udinese,6.17,5.5
A,Karlsson,Bologna,5.9,0.0
A,Deulofeu,Udinese,0.0,0.0
A,Henry,Verona,6.0,0.0
A,Davis K.,Udinese,0.0,0.0
A,Mota,Monza,5.62,6.0
A,Banda,Lecce,6.3,5.5
A,Mulattieri,Sassuolo,6.0,0.0
A,Isaksen,Lazio,5.7,0.0
A,Sansone,Lecce,6.75,7.5
A,Karamoh,Torino,6.17,0.0
A,Success,Udinese,5.75,5.5
A,Solbakken,Roma,5.5,0.0
A,Defrel,Sassuolo,5.83,5.5
A,Caso,Frosinone,6.1,0.0
A,Cancellieri,Empoli,5.75,6.0
A,Brenner,Udinese,0.0,0.0
A,Lasagna,Verona,0.0,0.0
A,Pellegri,Torino,5.75,6.0
A,Coda M.,Genoa,0.0,0.0
A,Seck,Torino,5.92,6.0
A,Cuni,Frosinone,6.0,6.0
A,Pavoletti,Cagliari,5.7,0.0
A,Ekuban,Genoa,5.92,5.5
A,Botheim,Salernitana,5.2,0.0
A,Ikwuemesi,Salernitana,6.12,7.5
A,Origi,Milan,0.0,0.0
A,Esposito,Inter,0.0,0.0
A,Van Hooijdonk,Bologna,6.0,0.0
A,Destro,Empoli,5.5,6.0
A,Alvarez A.,Sassuolo,0.0,0.0
A,Kvernadze,Frosinone,5.75,0.0
A,Borrelli,Frosinone,6.0,0.0
A,Maric,Monza,6.0,0.0
A,Shpendi S.,Empoli,5.88,0.0
A,Stewart,Salernitana,6.0,6.0
A,Cruz,Verona,5.5,0.0
A,Puscas,Genoa,0.0,0.0
A,Latte Lath,Atalanta,0.0,0.0
A,Ake' M.,Udinese,0.0,0.0
A,Kokorin,Fiorentina,0.0,0.0
A,Braaf,Verona,0.0,0.0
A,Raimondo,Bologna,0.0,0.0
A,Kallon,Verona,0.0,0.0
A,Kaio Jorge,Frosinone,0.0,0.0
A,Ceide,Sassuolo,5.5,0.0
A,Voelkerling Persson,Lecce,0.0,0.0
A,Valencia D.,Salernitana,0.0,0.0
A,Rodriguez P.,Lecce,0.0,0.0
A,Ekong,Empoli,0.0,0.0
A,Vivaldo,Udinese,0.0,0.0
A,Bidaoui,Frosinone,0.0,0.0
A,Yalcin,Genoa,0.0,0.0
A,Diaw,Monza,0.0,0.0
A,Burnete,Lecce,6.0,0.0
A,Corfitzen,Lecce,0.0,0.0
A,Yildiz,Juventus,6.0,0.0
